UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
477996,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0
477996,2,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,1,Z,0,R,1,Z,0,R,0,Z,0,R,1,R,0,R,1,R,0,R,0,R,0
478005,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,3,R,0,R,0,R,0,R,3,R,0,R,3,R,0,R,0,R,0
478005,3,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,3,Z,0,R,3,Z,0,R,0,Z,0,R,3,R,0,R,3,R,0,R,0,R,0
478582,4,R,38,Z,0,R,38,A,,A,,R,16,R,1,Z,0,R,1,A,,A,,R,1,R,6,Z,0,R,6,A,,A,,R,2,R,45,R,0,R,45,A,,A,,R,19
478591,4,R,61,Z,0,R,61,A,,A,,R,41,R,14,Z,0,R,14,A,,A,,R,13,R,14,Z,0,R,14,A,,A,,R,9,R,89,R,0,R,89,A,,A,,R,63
478616,4,R,17,Z,0,R,17,A,,A,,R,11,R,1,Z,0,R,1,A,,A,,R,0,R,2,Z,0,R,2,A,,A,,R,0,R,20,R,0,R,20,A,,A,,R,11
478661,4,R,92,Z,0,R,92,A,,A,,R,52,R,11,Z,0,R,11,A,,A,,R,6,R,28,Z,0,R,28,A,,A,,R,26,R,131,R,0,R,131,A,,A,,R,84
478917,4,R,23,Z,0,R,23,A,,A,,R,19,R,4,Z,0,R,4,A,,A,,R,4,R,6,Z,0,R,6,A,,A,,R,1,R,33,R,0,R,33,A,,A,,R,24
478953,4,R,16,Z,0,R,16,A,,A,,R,11,R,5,Z,0,R,5,A,,A,,R,3,R,8,Z,0,R,8,A,,A,,R,5,R,29,R,0,R,29,A,,A,,R,19
479053,4,R,61,Z,0,R,61,A,,A,,R,49,R,22,Z,0,R,22,A,,A,,R,17,R,4,Z,0,R,4,A,,A,,R,3,R,87,R,0,R,87,A,,A,,R,69
479062,4,R,0,R,0,R,0,A,,A,,R,0,R,0,R,0,R,0,A,,A,,R,0,R,7,R,1,R,6,A,,A,,R,6,R,7,R,1,R,6,A,,A,,R,6
479248,4,R,113,Z,0,R,113,A,,A,,R,77,R,0,Z,0,R,0,A,,A,,R,0,R,22,Z,0,R,22,A,,A,,R,5,R,135,R,0,R,135,A,,A,,R,82
479424,4,R,76,R,6,R,70,A,,A,,R,57,R,10,R,0,R,10,A,,A,,R,10,R,0,R,0,R,0,A,,A,,R,0,R,86,R,6,R,80,A,,A,,R,67
479956,1,R,51,R,0,R,51,R,8,R,6,R,14,R,12,R,0,R,12,R,4,R,0,R,4,R,19,R,0,R,19,R,3,R,3,R,6,R,82,R,0,R,82,R,15,R,9,R,24
479956,2,R,28,Z,0,R,28,R,7,R,1,R,8,R,5,Z,0,R,5,R,2,R,0,R,2,R,8,Z,0,R,8,R,3,R,0,R,3,R,41,R,0,R,41,R,12,R,1,R,13
479956,3,R,23,Z,0,R,23,R,1,R,5,R,6,R,7,Z,0,R,7,R,2,R,0,R,2,R,11,Z,0,R,11,R,0,R,3,R,3,R,41,R,0,R,41,R,3,R,8,R,11
479974,4,R,43,Z,0,R,43,A,,A,,R,30,R,0,Z,0,R,0,A,,A,,R,0,R,13,Z,0,R,13,A,,A,,R,4,R,56,R,0,R,56,A,,A,,R,34
479983,4,R,10,Z,0,R,10,A,,A,,R,7,R,1,Z,0,R,1,A,,A,,R,0,R,2,Z,0,R,2,A,,A,,R,2,R,13,R,0,R,13,A,,A,,R,9
479992,4,R,0,Z,0,R,0,A,,A,,R,0,R,0,Z,0,R,0,A,,A,,R,0,R,1,Z,0,R,1,A,,A,,R,1,R,1,R,0,R,1,A,,A,,R,1
480000,4,R,35,Z,0,R,35,A,,A,,R,23,R,3,Z,0,R,3,A,,A,,R,3,R,0,Z,0,R,0,A,,A,,R,0,R,38,R,0,R,38,A,,A,,R,26
480019,4,R,174,Z,0,R,174,A,,A,,R,144,R,4,Z,0,R,4,A,,A,,R,4,R,190,Z,0,R,190,A,,A,,R,154,R,368,R,0,R,368,A,,A,,R,302
480028,4,R,16,Z,0,R,16,A,,A,,R,12,R,3,Z,0,R,3,A,,A,,R,3,R,12,Z,0,R,12,A,,A,,R,5,R,31,R,0,R,31,A,,A,,R,20
480037,4,R,203,Z,0,R,203,A,,A,,R,151,R,118,Z,0,R,118,A,,A,,R,93,R,2,Z,0,R,2,A,,A,,R,0,R,323,R,0,R,323,A,,A,,R,244
480064,1,R,53,R,0,R,53,R,1,R,12,R,13,R,2,R,0,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,55,R,0,R,55,R,1,R,12,R,13
480064,2,R,7,Z,0,R,7,Z,0,R,1,R,1,R,0,Z,0,R,0,Z,0,R,0,R,0,R,0,Z,0,R,0,Z,0,R,0,R,0,R,7,R,0,R,7,R,0,R,1,R,1
480064,3,R,46,Z,0,R,46,R,1,R,11,R,12,R,2,Z,0,R,2,R,0,R,0,R,0,R,0,Z,0,R,0,R,0,R,0,R,0,R,48,R,0,R,48,R,1,R,11,R,12
480073,1,R,8,R,0,R,8,R,2,R,0,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,3,R,0,R,0,R,0,R,11,R,0,R,11,R,2,R,0,R,2
480073,2,R,5,Z,0,R,5,R,2,R,0,R,2,R,0,Z,0,R,0,R,0,R,0,R,0,R,3,Z,0,R,3,R,0,R,0,R,0,R,8,R,0,R,8,R,2,R,0,R,2
480073,3,R,3,Z,0,R,3,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,3,R,0,R,3,R,0,R,0,R,0
480082,1,R,8,R,0,R,8,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,1,R,0,R,1,R,9,R,0,R,9,R,1,R,0,R,1
480082,2,R,7,Z,0,R,7,R,0,R,0,R,0,R,0,Z,0,R,0,R,0,R,0,R,0,R,1,Z,0,R,1,R,1,R,0,R,1,R,8,R,0,R,8,R,1,R,0,R,1
480082,3,R,1,Z,0,R,1,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,1,R,0,R,1,R,0,R,0,R,0
480091,1,R,88,R,0,R,88,R,3,R,20,R,23,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,3,R,0,R,2,R,2,R,91,R,0,R,91,R,3,R,22,R,25
480091,3,R,88,Z,0,R,88,R,3,R,20,R,23,R,0,Z,0,R,0,R,0,R,0,R,0,R,3,Z,0,R,3,R,0,R,2,R,2,R,91,R,0,R,91,R,3,R,22,R,25
480125,4,R,141,Z,0,R,141,A,,A,,R,74,R,19,Z,0,R,19,A,,A,,R,17,R,19,Z,0,R,19,A,,A,,R,10,R,179,R,0,R,179,A,,A,,R,101
480161,4,R,1,Z,0,R,1,A,,A,,R,1,R,1,Z,0,R,1,A,,A,,R,1,R,3,Z,0,R,3,A,,A,,R,0,R,5,R,0,R,5,A,,A,,R,2
480170,4,R,16,Z,0,R,16,A,,A,,R,9,R,2,Z,0,R,2,A,,A,,R,2,R,2,Z,0,R,2,A,,A,,R,1,R,20,R,0,R,20,A,,A,,R,12
480189,4,R,108,R,0,R,108,A,,A,,R,46,R,23,R,1,R,22,A,,A,,R,11,R,21,R,0,R,21,A,,A,,R,10,R,152,R,1,R,151,A,,A,,R,67
480198,1,R,12,R,0,R,12,R,5,R,1,R,6,R,5,R,0,R,5,R,2,R,1,R,3,R,1,R,0,R,1,R,1,R,0,R,1,R,18,R,0,R,18,R,8,R,2,R,10
480198,3,R,12,Z,0,R,12,R,5,R,1,R,6,R,5,Z,0,R,5,R,2,R,1,R,3,R,1,Z,0,R,1,R,1,R,0,R,1,R,18,R,0,R,18,R,8,R,2,R,10
480204,1,R,164,R,0,R,164,R,0,R,119,R,119,R,22,R,0,R,22,R,0,R,16,R,16,R,2,R,0,R,2,R,0,R,1,R,1,R,188,R,0,R,188,R,0,R,136,R,136
480204,3,R,164,Z,0,R,164,Z,0,R,119,R,119,R,22,Z,0,R,22,Z,0,R,16,R,16,R,2,Z,0,R,2,Z,0,R,1,R,1,R,188,R,0,R,188,R,0,R,136,R,136
480310,4,R,38,Z,0,R,38,A,,A,,R,20,R,3,Z,0,R,3,A,,A,,R,3,R,3,Z,0,R,3,A,,A,,R,3,R,44,R,0,R,44,A,,A,,R,26
480347,4,R,23,Z,0,R,23,A,,A,,R,19,R,3,Z,0,R,3,A,,A,,R,1,R,6,Z,0,R,6,A,,A,,R,4,R,32,R,0,R,32,A,,A,,R,24
480471,4,R,275,R,1,R,274,A,,A,,R,186,R,8,R,0,R,8,A,,A,,R,8,R,5,R,0,R,5,A,,A,,R,4,R,288,R,1,R,287,A,,A,,R,198
480523,4,R,24,Z,0,R,24,A,,A,,R,16,R,2,Z,0,R,2,A,,A,,R,2,R,0,Z,0,R,0,A,,A,,R,0,R,26,R,0,R,26,A,,A,,R,18
480532,4,R,102,Z,0,R,102,A,,A,,R,73,R,4,Z,0,R,4,A,,A,,R,4,R,1,Z,0,R,1,A,,A,,R,0,R,107,R,0,R,107,A,,A,,R,77
480550,4,R,81,Z,0,R,81,A,,A,,R,53,R,9,Z,0,R,9,A,,A,,R,4,R,1,Z,0,R,1,A,,A,,R,1,R,91,R,0,R,91,A,,A,,R,58
480693,4,R,81,Z,0,R,81,A,,A,,R,60,R,0,Z,0,R,0,A,,A,,R,0,R,16,Z,0,R,16,A,,A,,R,12,R,97,R,0,R,97,A,,A,,R,72
